,,,,,,,,,,
survey_id,age,occur_date,date_granted,signup_date,link_click_date,location,credit_type,show_credit,penalty_credit,comments
24131,19.93,18 January 2023 09:00,13 January 2023 18:45,13 January 2023 16:40,13 January 2023 16:41,Online,Participated,0.5,0,
25272,18.96,18 January 2023 09:00,13 January 2023 17:29,13 January 2023 17:17,13 January 2023 17:17,Online,Participated,0.5,0,
24265,20.25,18 January 2023 09:00,13 January 2023 16:58,13 January 2023 16:46,13 January 2023 16:46,Online,Participated,0.5,0,
24295,20.57,18 January 2023 09:00,14 January 2023 22:47,13 January 2023 17:02,14 January 2023 22:40,Online,Participated,0.5,0,
25316,19.55,18 January 2023 09:00,13 January 2023 17:28,13 January 2023 17:17,13 January 2023 17:17,Online,Participated,0.5,0,
24318,24.09,18 January 2023 09:00,13 January 2023 17:23,13 January 2023 17:11,13 January 2023 17:11,Online,Participated,0.5,0,
25337,20.61,18 January 2023 09:00,13 January 2023 17:02,13 January 2023 16:50,13 January 2023 16:50,Online,Participated,0.5,0,
24330,24.78,18 January 2023 09:00,13 January 2023 17:30,13 January 2023 16:35,13 January 2023 16:35,Online,Participated,0.5,0,
25750,18.88,18 January 2023 09:00,14 January 2023 12:28,13 January 2023 16:10,13 January 2023 16:10,Online,Participated,0.5,0,
25368,20.43,18 January 2023 09:00,17 January 2023 18:14,13 January 2023 16:46,17 January 2023 18:05,Online,Participated,0.5,0,
25188,20.25,19 January 2023 09:15,17 January 2023 00:35,16 January 2023 13:15,17 January 2023 00:26,Online,Participated,0.5,0,
25189,20.24,19 January 2023 09:15,18 January 2023 17:33,17 January 2023 11:39,18 January 2023 17:16,Online,Participated,0.5,0,
24181,20.23,19 January 2023 09:15,16 January 2023 21:18,16 January 2023 17:02,16 January 2023 21:10,Online,Participated,0.5,0,
25700,19.06,19 January 2023 09:15,19 January 2023 17:36,16 January 2023 22:53,,Online,No-Show (Excused),0,0,
25197,18.88,19 January 2023 09:15,18 January 2023 21:47,17 January 2023 15:59,18 January 2023 21:21,Online,Participated,0.5,0,
25702,19.39,19 January 2023 09:15,17 January 2023 11:13,17 January 2023 10:57,17 January 2023 10:57,Online,Participated,0.5,0,
25210,18.75,19 January 2023 09:15,19 January 2023 01:14,17 January 2023 15:47,19 January 2023 01:04,Online,Participated,0.5,0,
24201,27.71,19 January 2023 09:15,17 January 2023 18:36,16 January 2023 19:44,17 January 2023 18:26,Online,Participated,0.5,0,
24202,20.32,19 January 2023 09:15,18 January 2023 23:06,18 January 2023 01:53,18 January 2023 01:54,Online,Participated,0.5,0,
24124,20.6,19 January 2023 09:15,19 January 2023 17:36,17 January 2023 17:18,17 January 2023 17:19,Online,No-Show (Excused),0,0,
25213,19.15,19 January 2023 09:15,16 January 2023 11:36,16 January 2023 11:28,16 January 2023 11:28,Online,Participated,0.5,0,
