"rt","correct","stimulus","key_press","keys","symptoms_shuffle","symptom1","symptom2","symptom3","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"null","false","diamond,circle,square","null","80,81","diamond,square,hexagon,circle,triangle","A","D","B","80","common","training","1","true","1","categorize-html","4","72771","0.0-4.0-0.0","25191","202302014","none"
"3646","false","square,circle,diamond","32","80,81","diamond,square,hexagon,circle,triangle","B","D","A","80","common","training","2","true","1","categorize-html","6","77420","0.0-4.0-2.0","25191","202302014","none"
"2901","false","diamond,circle,square","32","80,81","diamond,square,hexagon,circle,triangle","A","D","B","80","common","training","3","true","1","categorize-html","8","81324","0.0-4.0-4.0","25191","202302014","none"
"1665.9999999999854","false","diamond,square,circle","32","80,81","diamond,square,hexagon,circle,triangle","A","B","D","80","common","training","4","true","1","categorize-html","10","83995","0.0-4.0-6.0","25191","202302014","none"
"2105","false","square,circle,diamond","32","80,81","diamond,square,hexagon,circle,triangle","B","D","A","80","common","training","5","true","1","categorize-html","12","87103","0.0-4.0-8.0","25191","202302014","none"
"3810.0000000000146","false","diamond,triangle,hexagon","32","80,81","diamond,square,hexagon,circle,triangle","A","E","C","81","rare","training","6","true","1","categorize-html","14","91918","0.0-4.0-10.0","25191","202302014","none"
"3103","false","circle,diamond,square","32","80,81","diamond,square,hexagon,circle,triangle","D","A","B","80","common","training","7","true","1","categorize-html","16","96025","0.0-4.0-12.0","25191","202302014","none"
"1856","false","triangle,hexagon,diamond","32","80,81","diamond,square,hexagon,circle,triangle","E","C","A","81","rare","training","8","true","1","categorize-html","18","98885","0.0-4.0-14.0","25191","202302014","none"
"1596","false","circle,diamond,square","32","80,81","diamond,square,hexagon,circle,triangle","D","A","B","80","common","training","9","true","1","categorize-html","20","101486","0.0-4.0-16.0","25191","202302014","none"
"2462","false","hexagon,diamond,triangle","32","80,81","diamond,square,hexagon,circle,triangle","C","A","E","81","rare","training","10","true","1","categorize-html","22","104953","0.0-4.0-18.0","25191","202302014","none"
"1848.9999999999854","false","square,diamond,circle","32","80,81","diamond,square,hexagon,circle,triangle","B","A","D","80","common","training","11","true","1","categorize-html","24","107805","0.0-4.0-20.0","25191","202302014","none"
"2362.0000000000146","false","circle,square,diamond","32","80,81","diamond,square,hexagon,circle,triangle","D","B","A","80","common","training","12","true","1","categorize-html","26","111172","0.0-4.0-22.0","25191","202302014","none"
"1974","false","square,circle,diamond","32","80,81","diamond,square,hexagon,circle,triangle","B","D","A","80","common","training","13","true","1","categorize-html","28","114151","0.0-4.0-24.0","25191","202302014","none"
"2116","false","triangle,diamond,hexagon","32","80,81","diamond,square,hexagon,circle,triangle","E","A","C","81","rare","training","14","true","1","categorize-html","30","117272","0.0-4.0-26.0","25191","202302014","none"
"2057","false","circle,square,diamond","32","80,81","diamond,square,hexagon,circle,triangle","D","B","A","80","common","training","15","true","1","categorize-html","32","120334","0.0-4.0-28.0","25191","202302014","none"
"3388","false","diamond,square,circle","32","80,81","diamond,square,hexagon,circle,triangle","A","B","D","80","common","training","16","true","1","categorize-html","34","124727","0.0-4.0-30.0","25191","202302014","none"
"2187","false","circle,diamond,square","32","80,81","diamond,square,hexagon,circle,triangle","D","A","B","80","common","training","17","true","1","categorize-html","36","127920","0.0-4.0-32.0","25191","202302014","none"
"2370","false","diamond,circle,square","32","80,81","diamond,square,hexagon,circle,triangle","A","D","B","80","common","training","18","true","1","categorize-html","38","131295","0.0-4.0-34.0","25191","202302014","none"
"2055","false","diamond,hexagon,triangle","32","80,81","diamond,square,hexagon,circle,triangle","A","C","E","81","rare","training","19","true","1","categorize-html","40","134354","0.0-4.0-36.0","25191","202302014","none"
"2287","false","hexagon,triangle,diamond","32","80,81","diamond,square,hexagon,circle,triangle","C","E","A","81","rare","training","20","true","1","categorize-html","42","137646","0.0-4.0-38.0","25191","202302014","none"
"2831","false","square,diamond,circle","32","80,81","diamond,square,hexagon,circle,triangle","B","A","D","80","common","training","21","true","1","categorize-html","44","141481","0.0-4.0-40.0","25191","202302014","none"
"2899","false","square,diamond,circle","32","80,81","diamond,square,hexagon,circle,triangle","B","A","D","80","common","training","22","true","1","categorize-html","46","145385","0.0-4.0-42.0","25191","202302014","none"
"2363","false","diamond,square,circle","32","80,81","diamond,square,hexagon,circle,triangle","A","B","D","80","common","training","23","true","1","categorize-html","48","148753","0.0-4.0-44.0","25191","202302014","none"
"1751","false","circle,square,diamond","32","80,81","diamond,square,hexagon,circle,triangle","D","B","A","80","common","training","24","true","1","categorize-html","50","151509","0.0-4.0-46.0","25191","202302014","none"
"3604","false","hexagon,diamond,triangle","32","80,81","diamond,square,hexagon,circle,triangle","C","A","E","81","rare","training","25","true","2","categorize-html","53","169505","0.0-4.0-49.0","25191","202302014","none"
"2391","false","diamond,square,circle","32","80,81","diamond,square,hexagon,circle,triangle","A","B","D","80","common","training","26","true","2","categorize-html","55","172900","0.0-4.0-51.0","25191","202302014","none"
"2863.999999999971","false","diamond,triangle,hexagon","32","80,81","diamond,square,hexagon,circle,triangle","A","E","C","81","rare","training","27","true","2","categorize-html","57","176770","0.0-4.0-53.0","25191","202302014","none"
"1683.999999999971","false","square,circle,diamond","32","80,81","diamond,square,hexagon,circle,triangle","B","D","A","80","common","training","28","true","2","categorize-html","59","179459","0.0-4.0-55.0","25191","202302014","none"
"2401","false","triangle,diamond,hexagon","32","80,81","diamond,square,hexagon,circle,triangle","E","A","C","81","rare","training","29","true","2","categorize-html","61","182863","0.0-4.0-57.0","25191","202302014","none"
"1937.000000000029","false","diamond,square,circle","32","80,81","diamond,square,hexagon,circle,triangle","A","B","D","80","common","training","30","true","2","categorize-html","63","185805","0.0-4.0-59.0","25191","202302014","none"
"2969","false","diamond,hexagon,triangle","32","80,81","diamond,square,hexagon,circle,triangle","A","C","E","81","rare","training","31","true","2","categorize-html","65","189778","0.0-4.0-61.0","25191","202302014","none"
"2977","false","triangle,hexagon,diamond","32","80,81","diamond,square,hexagon,circle,triangle","E","C","A","81","rare","training","32","true","2","categorize-html","67","193760","0.0-4.0-63.0","25191","202302014","none"
"2873.000000000029","false","circle,diamond,square","32","80,81","diamond,square,hexagon,circle,triangle","D","A","B","80","common","training","33","true","2","categorize-html","69","197638","0.0-4.0-65.0","25191","202302014","none"
"2121","false","square,circle,diamond","32","80,81","diamond,square,hexagon,circle,triangle","B","D","A","80","common","training","34","true","2","categorize-html","71","200764","0.0-4.0-67.0","25191","202302014","none"
"2465","false","circle,square,diamond","32","80,81","diamond,square,hexagon,circle,triangle","D","B","A","80","common","training","35","true","2","categorize-html","73","204235","0.0-4.0-69.0","25191","202302014","none"
"2355","false","circle,diamond,square","32","80,81","diamond,square,hexagon,circle,triangle","D","A","B","80","common","training","36","true","2","categorize-html","75","207595","0.0-4.0-71.0","25191","202302014","none"
"3189","false","square,diamond,circle","32","80,81","diamond,square,hexagon,circle,triangle","B","A","D","80","common","training","37","true","2","categorize-html","77","211789","0.0-4.0-73.0","25191","202302014","none"
"2539","false","square,diamond,circle","32","80,81","diamond,square,hexagon,circle,triangle","B","A","D","80","common","training","38","true","2","categorize-html","79","215332","0.0-4.0-75.0","25191","202302014","none"
